event,time,delta
event,7427.606,1425.507
event,9131.233,1703.627
event,10963.47,1832.237
event,12427.33,1463.86
event,14251.599,1824.269
event,15979.431,1727.833
event,17611.891,1632.459
event,19491.676,1879.785
event,29123.374,1627.707
event,30811.332,1687.957
event,32323.363,1512.032
event,33819.63,1496.266
event,35187.326,1367.697
event,36946.97,1759.644
event,38266.551,1319.581
event,40018.478,1751.927
event,47586.368,1566.7
event,49058.547,1472.18
event,50314.466,1255.919
event,51762.916,1448.45
event,53002.273,1239.357
event,54434.736,1432.463
event,56250.858,1816.121
event,57626.31,1375.452
event,59266.688,1640.379
event,60722.18,1455.491
event,62089.795,1367.615
event,67426.195,1335.543
event,68594.27,1168.075
event,69802.415,1208.145
event,71090.587,1288.172
event,72377.985,1287.398
event,73666.417,1288.432
event,74881.893,1215.476
event,76641.981,1760.087
event,77921.955,1279.974
event,79138.202,1216.248
event,80353.662,1215.46
event,81593.929,1240.267
event,82818.095,1224.167
event,84114.505,1296.41
