event,time,delta
event,1996.103,1996.014
event,2139.317,143.215
event,2275.273,135.955
event,3123.43,848.157
event,3868.075,744.646
event,3995.243,127.167
event,4139.263,144.021
event,8579.441,439.329
event,8708.237,128.796
event,8859.308,151.071
event,9571.725,712.417
event,10275.28,703.556
event,10411.775,136.495
event,10563.483,151.708
event,14755.125,190.168
event,14891.444,136.319
event,15051.085,159.641
event,15747.36,696.275
event,16355.132,607.771
event,16491.182,136.05
event,16674.765,183.583
event,20347.049,1671.878
event,20499.406,152.358
event,20659.536,160.13
event,21306.957,647.421
event,21947.317,640.36
event,22131.432,184.115
event,22282.905,151.473
event,26410.931,126.241
event,26539.495,128.564
event,26698.89,159.396
event,27355.539,656.648
event,28002.812,647.273
event,28163.646,160.834
event,28315.058,151.411
event,32267.409,1951.674
event,32411.498,144.089
event,32571.255,159.758
event,33379.272,808.017
event,34002.934,623.662
event,34147.476,144.543
event,34298.692,151.216
event,37658.784,1359.183
event,37802.577,143.793
event,37954.705,152.128
event,38594.81,640.106
event,39251.096,656.285
event,39395.26,144.164
event,39530.818,135.558
event,42970.996,1440.068
event,43138.637,167.641
event,43266.418,127.781
event,43850.988,584.57
event,44387.169,536.18
event,44522.55,135.381
event,44675.121,152.571
event,49362.43,686.23
event,49522.95,160.52
event,49659.191,136.241
event,50210.646,551.455
event,50738.466,527.82
event,50874.93,136.464
event,50987.006,112.077
