event,time,delta
event,2546.929,546.781
event,2979.237,432.308
event,3314.613,335.376
event,3427.28,112.667
event,3874.947,447.667
event,4666.783,791.837
event,5074.704,407.921
event,7498.587,423.201
event,7931.393,432.806
event,8242.782,311.389
event,8370.537,127.755
event,8834.854,464.317
event,9875.336,1040.482
event,10290.995,415.659
event,12330.628,39.521
event,12810.761,480.132
event,13098.714,287.954
event,13227.093,128.378
event,13730.786,503.694
event,14762.451,1031.664
event,15290.723,528.273
event,17626.318,335.286
event,18090.675,464.357
event,18402.637,311.962
event,18546.302,143.665
event,19034.534,488.232
event,20138.374,1103.841
event,20642.5,504.126
event,23514.77,871.455
event,23977.876,463.107
event,24322.099,344.223
event,24450.813,128.713
event,24922.448,471.636
event,25842.593,920.145
event,26338.632,496.039
