event,time,delta
event,7764.938,1763.049
event,8261.478,496.54
event,8813.575,552.097
event,9380.852,567.276
event,9629.092,248.241
event,9893.692,264.6
event,12357.071,462.492
event,12876.992,519.921
event,13300.963,423.971
event,13820.877,519.914
event,14045.047,224.17
event,14292.708,247.661
event,16340.983,47.194
event,16861.624,520.641
event,17380.996,519.373
event,17892.926,511.93
event,18180.968,288.042
event,18437.088,256.12
event,21212.994,774.823
event,21717.561,504.567
event,22188.879,471.319
event,22693.051,504.172
event,22901.017,207.966
event,23133.074,232.057
event,25021.686,1888.612
event,25533.355,511.67
event,26005.136,471.781
event,26533.849,528.713
event,26725.178,191.329
event,26933.095,207.917
