val 1000050 160
val 1000060 160
val 1000070 144
val 1000080 160
val 1000090 192
val 1000100 144
val 1000111 224
val 1000121 176
val 1000131 176
val 1000141 192
val 1000151 160
val 1000161 176
val 1000172 176
val 1000182 192
val 1000192 176
val 1000202 176
val 1000212 192
val 1000222 176
val 1000233 176
val 1000243 176
val 1000253 160
val 1000263 160
val 1000273 144
val 1000283 176
val 1000294 192
val 1000304 176
val 1000314 176
val 1000324 176
val 1000334 64
val 1000344 176
val 1000355 176
val 1000365 160
val 1000375 176
val 1000385 176
val 1000395 176
val 1000405 176
val 1000415 192
val 1000426 176
val 1000436 160
val 1000446 192
val 1000456 144
val 1000466 176
val 1000476 160
val 1000487 144
val 1000497 160
val 1000507 208
val 1000517 176
val 1000527 160
val 1000537 176
val 1000548 192
val 1000558 176
val 1000568 176
val 1000578 176
val 1000588 128
val 1000598 160
val 1000609 208
val 1000619 160
val 1000629 192
val 1000639 192
val 1000649 160
val 1000659 192
val 1000670 176
val 1000680 160
val 1000690 144
val 1000700 176
val 1000710 160
val 1000720 160
val 1000731 160
val 1000741 176
val 1000751 160
val 1000761 176
val 1000771 176
val 1000781 160
val 1000792 160
val 1000802 192
val 1000812 144
val 1000822 160
val 1000832 192
val 1000842 192
val 1000853 192
val 1000863 160
val 1000873 192
val 1000883 192
val 1000893 192
val 1000903 160
val 1000914 160
val 1000924 192
val 1000934 176
val 1000944 160
val 1000954 160
val 1000964 144
val 1000975 192
val 1000985 160
val 1000995 176
val 1001005 208
val 1001015 192
val 1001025 160
val 1001036 224
val 1001046 176
val 1001056 176
val 1001066 192
val 1001076 192
val 1001086 160
val 1001097 176
val 1001107 160
val 1001117 176
val 1001127 160
val 1001137 160
val 1001147 192
val 1001158 144
val 1001168 192
val 1001178 160
val 1001188 160
val 1001198 176
val 1001208 176
val 1001219 144
val 1001229 192
val 1001239 144
val 1001249 192
val 1001259 192
val 1001269 160
val 1001280 176
val 1001290 144
val 1001300 192
val 1001310 144
val 1001320 160
val 1001330 192
val 1001341 176
val 1001351 160
val 1001361 192
val 1001371 176
val 1001381 192
val 1001391 192
val 1001401 176
val 1001412 144
val 1001422 176
val 1001432 176
val 1001442 176
val 1001452 192
val 1001462 176
val 1001473 160
val 1001483 176
val 1001493 160
val 1001503 176
val 1001513 176
val 1001523 192
val 1001534 176
val 1001544 176
val 1001554 176
val 1001564 176
val 1001574 160
val 1001584 144
val 1001595 192
val 1001605 176
val 1001615 144
val 1001625 176
val 1001635 192
val 1001645 176
val 1001656 144
val 1001666 176
val 1001676 192
val 1001686 176
val 1001696 192
val 1001706 192
val 1001717 160
val 1001727 176
val 1001737 176
val 1001747 176
val 1001757 192
val 1001767 160
val 1001778 160
val 1001788 160
val 1001798 160
val 1001808 176
val 1001818 192
val 1001828 192
val 1001839 176
val 1001849 192
val 1001859 176
val 1001869 272
val 1001879 192
val 1001889 144
val 1001900 144
val 1001910 176
val 1001920 192
val 1001930 160
val 1001940 160
val 1001950 176
val 1001961 160
val 1001971 176
val 1001981 144
val 1001991 192
val 1002001 160
val 1002011 176
val 1002022 144
val 1002032 176
val 1002042 176
val 1002052 176
val 1002062 176
val 1002072 176
val 1002083 176
val 1002093 176
val 1002103 144
val 1002113 144
val 1002123 160
val 1002133 192
val 1002144 176
val 1002154 192
val 1002164 192
val 1002174 176
